Investor Name,Investment Industries,Investment Stages,Past Investment Types,Location,Investor Bio
Kima Ventures,Tech,Various,Seed,"Equity,Paris, France","Kima Ventures is an investor based in Equity,Paris, France. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
500 Istanbul,Tech,Internet,Seed,"Series A,Equity,Istanbul, Turkey","500 Istanbul is an investor based in Series A,Equity,Istanbul, Turkey. They are interested in sectors like Tech and typically invest in Internet rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
SC Ventures (Standard Chartered),FinTech,Banking,Series A,"Series B,Equity,London, UK","SC Ventures (Standard Chartered) is an investor based in Series B,Equity,London, UK. They are interested in sectors like FinTech and typically invest in Banking rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Unitus Ventures,FinTech,EdTech,Seed,"Series A,Equity,Bangalore, India","Unitus Ventures is an investor based in Series A,Equity,Bangalore, India. They are interested in sectors like FinTech and typically invest in EdTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Voltron Capital,Tech,Various,Pre-Seed,"Seed,Equity,Lagos, Nigeria","Voltron Capital is an investor based in Seed,Equity,Lagos, Nigeria. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Ventures Platform,Tech,SaaS,Pre-Seed,"Seed,Equity,Abuja, Nigeria","Ventures Platform is an investor based in Seed,Equity,Abuja, Nigeria. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Renew Capital,SMEs,Various,Growth,"Equity,Addis Ababa, Ethiopia","Renew Capital is an investor based in Equity,Addis Ababa, Ethiopia. They are interested in sectors like SMEs and typically invest in Various rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Catalyst Fund (BFA),FinTech,InsurTech,Seed,"Grant,London, UK","Catalyst Fund (BFA) is an investor based in Grant,London, UK. They are interested in sectors like FinTech and typically invest in InsurTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
EchoVC Partners,Tech,Consumer,Seed,"Series A,Equity,Lagos, Nigeria","EchoVC Partners is an investor based in Series A,Equity,Lagos, Nigeria. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Savannah Fund,Tech,Mobile,Seed,"Equity,Nairobi, Kenya","Savannah Fund is an investor based in Equity,Nairobi, Kenya. They are interested in sectors like Tech and typically invest in Mobile rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Entrée Capital,FinTech,SaaS,Seed,"Series A,Equity,London, UK","Entrée Capital is an investor based in Series A,Equity,London, UK. They are interested in sectors like FinTech and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Helios Investment Partners,Telecom,Financial Services,Growth,"Equity,London, UK","Helios Investment Partners is an investor based in Equity,London, UK. They are interested in sectors like Telecom and typically invest in Financial Services rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Proparco,FinTech,Energy,Series B,"Growth,Equity, Debt,Paris, France","Proparco is an investor based in Growth,Equity, Debt,Paris, France. They are interested in sectors like FinTech and typically invest in Energy rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Oikocredit,Microfinance,Impact,Growth,"Equity, Debt,Amersfoort, Netherlands","Oikocredit is an investor based in Equity, Debt,Amersfoort, Netherlands. They are interested in sectors like Microfinance and typically invest in Impact rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
LeapFrog Investments,InsurTech,Health,Growth,"Series B,Equity,London, UK","LeapFrog Investments is an investor based in Series B,Equity,London, UK. They are interested in sectors like InsurTech and typically invest in Health rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Prosperity7 Ventures,Tech,Diversified,Series B,"Growth,Equity,Dhahran, Saudi Arabia","Prosperity7 Ventures is an investor based in Growth,Equity,Dhahran, Saudi Arabia. They are interested in sectors like Tech and typically invest in Diversified rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
BD Ventures (Bangladesh),Tech,Various,Seed,"Series A,Equity,Dhaka, Bangladesh","BD Ventures (Bangladesh) is an investor based in Series A,Equity,Dhaka, Bangladesh. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Brainchild Investments,MediaTech,E-commerce,Seed,"Series A,Equity,Karachi, Pakistan","Brainchild Investments is an investor based in Series A,Equity,Karachi, Pakistan. They are interested in sectors like MediaTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Bill & Melinda Gates Foundation,HealthTech,FinTech,Seed,"Series A,Grant, Equity,Seattle, USA","Bill & Melinda Gates Foundation is an investor based in Series A,Grant, Equity,Seattle, USA. They are interested in sectors like HealthTech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Mastercard Foundation,FinTech,Education,Seed,"Series A,Grant,Toronto, Canada","Mastercard Foundation is an investor based in Series A,Grant,Toronto, Canada. They are interested in sectors like FinTech and typically invest in Education rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
AXA Venture Partners,FinTech,InsurTech,Series A,"Series B,Equity,Paris, France","AXA Venture Partners is an investor based in Series B,Equity,Paris, France. They are interested in sectors like FinTech and typically invest in InsurTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Michael & Susan Dell Foundation,EdTech,FinTech,Seed,"Series A,Equity, Grant,Austin, USA","Michael & Susan Dell Foundation is an investor based in Series A,Equity, Grant,Austin, USA. They are interested in sectors like EdTech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
BlackRock (Private Equity),Various,Growth,Growth,"Equity,New York, USA","BlackRock (Private Equity) is an investor based in Equity,New York, USA. They are interested in sectors like Various and typically invest in Growth rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
TPG Growth,Various,Growth,Growth,"Series C,Equity,San Francisco, USA","TPG Growth is an investor based in Series C,Equity,San Francisco, USA. They are interested in sectors like Various and typically invest in Growth rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Warburg Pincus,Consumer,FinTech,Growth,"Series C,Equity,New York, USA","Warburg Pincus is an investor based in Series C,Equity,New York, USA. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Goldman Sachs (Growth Equity),Tech,FinTech,Series B,"Growth,Equity,New York, USA","Goldman Sachs (Growth Equity) is an investor based in Growth,Equity,New York, USA. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Blume Ventures,Tech,SaaS,Pre-Seed,"Seed,Equity,Mumbai, India","Blume Ventures is an investor based in Seed,Equity,Mumbai, India. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Kalaari Capital,Tech,Consumer,Seed,"Series A,Equity,Bangalore, India","Kalaari Capital is an investor based in Series A,Equity,Bangalore, India. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Ingressive Capital,Tech,FinTech,Pre-Seed,"Seed,Equity,Lagos, Nigeria","Ingressive Capital is an investor based in Seed,Equity,Lagos, Nigeria. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Kepple Africa Ventures,Tech,Various,Seed,"Equity,Tokyo, Japan","Kepple Africa Ventures is an investor based in Equity,Tokyo, Japan. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Samurai Incubate Africa,Tech,Various,Seed,"Equity,Tokyo, Japan","Samurai Incubate Africa is an investor based in Equity,Tokyo, Japan. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
LoftyInc Capital,Tech,Various,Pre-Seed,"Seed,Equity,Houston, USA","LoftyInc Capital is an investor based in Seed,Equity,Houston, USA. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Enza Capital,FinTech,SaaS,Seed,"Series A,Equity,Nairobi, Kenya","Enza Capital is an investor based in Series A,Equity,Nairobi, Kenya. They are interested in sectors like FinTech and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
4DX Ventures,Tech,FinTech,Seed,"Series A,Equity,New York, USA","4DX Ventures is an investor based in Series A,Equity,New York, USA. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
GreenTec Capital,Tech,Impact,Seed,"Series A,Equity,Frankfurt, Germany","GreenTec Capital is an investor based in Series A,Equity,Frankfurt, Germany. They are interested in sectors like Tech and typically invest in Impact rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Kickstart Ventures,Tech,Various,Seed,"Series A,Equity,Manila, Philippines","Kickstart Ventures is an investor based in Series A,Equity,Manila, Philippines. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Golden Gate Ventures,Consumer,FinTech,Seed,"Series A,Equity,Singapore, Singapore","Golden Gate Ventures is an investor based in Series A,Equity,Singapore, Singapore. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
AC Ventures,E-commerce,FinTech,Seed,"Series A,Equity,Jakarta, Indonesia","AC Ventures is an investor based in Series A,Equity,Jakarta, Indonesia. They are interested in sectors like E-commerce and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Patamar Capital,FinTech,AgriTech,Seed,"Series A,Equity,San Francisco, USA","Patamar Capital is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like FinTech and typically invest in AgriTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Village Capital,FinTech,CleanTech,Seed,"Equity,Washington, DC, USA","Village Capital is an investor based in Equity,Washington, DC, USA. They are interested in sectors like FinTech and typically invest in CleanTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Unreasonable Capital,Impact,Various,Seed,"Series A,Equity,Boulder, USA","Unreasonable Capital is an investor based in Series A,Equity,Boulder, USA. They are interested in sectors like Impact and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Founders Fund,Tech,Aerospace,Series A,"Series B,Equity,San Francisco, USA","Founders Fund is an investor based in Series B,Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in Aerospace rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
New Enterprise Associates (NEA),Tech,Healthcare,Series A,"Series B,Equity,Chevy Chase, USA","New Enterprise Associates (NEA) is an investor based in Series B,Equity,Chevy Chase, USA. They are interested in sectors like Tech and typically invest in Healthcare rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Insight Partners,Software,SaaS,Series B,"Growth,Equity,New York, USA","Insight Partners is an investor based in Growth,Equity,New York, USA. They are interested in sectors like Software and typically invest in SaaS rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
General Atlantic,Consumer,FinTech,Growth,"Series C,Equity,New York, USA","General Atlantic is an investor based in Series C,Equity,New York, USA. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Norwest Venture Partners,Tech,FinTech,Series A,"Series B,Equity,Palo Alto, USA","Norwest Venture Partners is an investor based in Series B,Equity,Palo Alto, USA. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Mayfield Fund,Enterprise,Consumer,Seed,"Series A,Equity,Menlo Park, USA","Mayfield Fund is an investor based in Series A,Equity,Menlo Park, USA. They are interested in sectors like Enterprise and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
IVP (Institutional Venture Partners),Consumer,Enterprise,Series B,"Series C,Equity,Menlo Park, USA","IVP (Institutional Venture Partners) is an investor based in Series C,Equity,Menlo Park, USA. They are interested in sectors like Consumer and typically invest in Enterprise rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Union Square Ventures (USV),Internet,Crypto,Series A,"Equity,New York, USA","Union Square Ventures (USV) is an investor based in Equity,New York, USA. They are interested in sectors like Internet and typically invest in Crypto rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Greenoaks Capital,Tech,Internet,Growth,"Pre-IPO,Equity,San Francisco, USA","Greenoaks Capital is an investor based in Pre-IPO,Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in Internet rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
DST Global,Tech,Internet,Series C,"Growth,Equity,Hong Kong, China","DST Global is an investor based in Growth,Equity,Hong Kong, China. They are interested in sectors like Tech and typically invest in Internet rounds. Their deals are usually structured as Series C, supporting startups with high growth potential."
Hillhouse Capital,Tech,Consumer,Growth,"Pre-IPO,Equity,Beijing, China","Hillhouse Capital is an investor based in Pre-IPO,Equity,Beijing, China. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Shunwei Capital,FinTech,Content,Seed,"Series A,Equity,Beijing, China","Shunwei Capital is an investor based in Series A,Equity,Beijing, China. They are interested in sectors like FinTech and typically invest in Content rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Elevation Capital (SAIF),Consumer,FinTech,Seed,"Series A,Equity,Gurgaon, India","Elevation Capital (SAIF) is an investor based in Series A,Equity,Gurgaon, India. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Steadview Capital,Consumer,FinTech,Growth,"Equity,London, UK","Steadview Capital is an investor based in Equity,London, UK. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
VNV Global (Vostok New Ventures),Mobility,Marketplace,Series B,"Growth,Equity,Stockholm, Sweden","VNV Global (Vostok New Ventures) is an investor based in Growth,Equity,Stockholm, Sweden. They are interested in sectors like Mobility and typically invest in Marketplace rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Rakuten Ventures,E-commerce,SaaS,Series A,"Equity,Tokyo, Japan","Rakuten Ventures is an investor based in Equity,Tokyo, Japan. They are interested in sectors like E-commerce and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Orange Ventures,Telecom,FinTech,Series A,"Series B,Equity,Paris, France","Orange Ventures is an investor based in Series B,Equity,Paris, France. They are interested in sectors like Telecom and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Chimera Ventures,FinTech,Crypto,Seed,"Series A,Equity,Abu Dhabi, UAE","Chimera Ventures is an investor based in Series A,Equity,Abu Dhabi, UAE. They are interested in sectors like FinTech and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
COTU Ventures,Tech,Various,Pre-Seed,"Seed,Equity,Dubai, UAE","COTU Ventures is an investor based in Seed,Equity,Dubai, UAE. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Plus Venture Capital (+VC),Tech,Various,Pre-Seed,"Seed,Equity,Dubai, UAE","Plus Venture Capital (+VC) is an investor based in Seed,Equity,Dubai, UAE. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Tim Draper (Angel),Tech,Crypto,Seed,"Equity,San Francisco, USA","Tim Draper (Angel) is an investor based in Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Peter Thiel (Angel),Tech,Crypto,Series A,"Equity,Los Angeles, USA","Peter Thiel (Angel) is an investor based in Equity,Los Angeles, USA. They are interested in sectors like Tech and typically invest in Crypto rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Reid Hoffman (Angel),Consumer,SaaS,Seed,"Series A,Convertible Note, Equity,Palo Alto, USA","Reid Hoffman (Angel) is an investor based in Series A,Convertible Note, Equity,Palo Alto, USA. They are interested in sectors like Consumer and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Arzan VC,Tech,Consumer,Seed,"Series A,Equity,Kuwait City, Kuwait","Arzan VC is an investor based in Series A,Equity,Kuwait City, Kuwait. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
A15,Tech,Internet,Seed,"Series A,Equity,Cairo, Egypt","A15 is an investor based in Series A,Equity,Cairo, Egypt. They are interested in sectors like Tech and typically invest in Internet rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Bloomberg Beta,AI,Future of Work,Seed,"Equity,San Francisco, USA","Bloomberg Beta is an investor based in Equity,San Francisco, USA. They are interested in sectors like AI and typically invest in Future of Work rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Susa Ventures,Tech,FinTech,Seed,"Series A,Equity,San Francisco, USA","Susa Ventures is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Data Collective (DCVC),DeepTech,AI,Series A,"Equity,Palo Alto, USA","Data Collective (DCVC) is an investor based in Equity,Palo Alto, USA. They are interested in sectors like DeepTech and typically invest in AI rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
BAI (Bertelsmann Asia),Consumer,Media,Series A,"Equity,Beijing, China","BAI (Bertelsmann Asia) is an investor based in Equity,Beijing, China. They are interested in sectors like Consumer and typically invest in Media rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Salesforce Ventures,Enterprise,Cloud,Series B,"Series C,Equity,San Francisco, USA","Salesforce Ventures is an investor based in Series C,Equity,San Francisco, USA. They are interested in sectors like Enterprise and typically invest in Cloud rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Mark Cuban (Angel),Tech,Media,Seed,"Equity,Dallas, USA","Mark Cuban (Angel) is an investor based in Equity,Dallas, USA. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Nasir Jones (Angel),Tech,Media,Seed,"Series A,Equity,Los Angeles, USA","Nasir Jones (Angel) is an investor based in Series A,Equity,Los Angeles, USA. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Ashton Kutcher (Angel),Consumer,Media,Seed,"Series A,Equity,Los Angeles, USA","Ashton Kutcher (Angel) is an investor based in Series A,Equity,Los Angeles, USA. They are interested in sectors like Consumer and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Marc Benioff (Angel),Enterprise,Cloud,Series B,"Equity,San Francisco, USA","Marc Benioff (Angel) is an investor based in Equity,San Francisco, USA. They are interested in sectors like Enterprise and typically invest in Cloud rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Horizons Ventures,Tech,Biotech,Series A,"Series B,Equity,Hong Kong, China","Horizons Ventures is an investor based in Series B,Equity,Hong Kong, China. They are interested in sectors like Tech and typically invest in Biotech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Kingdom Holdings,Tech,Media,Growth,"Equity,Riyadh, Saudi Arabia","Kingdom Holdings is an investor based in Equity,Riyadh, Saudi Arabia. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Qualcomm Ventures,Mobile,Hardware,Series A,"Series B,Equity,San Diego, USA","Qualcomm Ventures is an investor based in Series B,Equity,San Diego, USA. They are interested in sectors like Mobile and typically invest in Hardware rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Unilever Ventures,E-commerce,FMCG,Series A,"Equity,London, UK","Unilever Ventures is an investor based in Equity,London, UK. They are interested in sectors like E-commerce and typically invest in FMCG rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Visa Ventures,FinTech,Payments,Series B,"Equity,Foster City, USA","Visa Ventures is an investor based in Equity,Foster City, USA. They are interested in sectors like FinTech and typically invest in Payments rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Citi Ventures,FinTech,Enterprise,Series A,"Series B,Equity,San Francisco, USA","Citi Ventures is an investor based in Series B,Equity,San Francisco, USA. They are interested in sectors like FinTech and typically invest in Enterprise rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
American Express Ventures,FinTech,Consumer,Series A,"Series B,Equity,New York, USA","American Express Ventures is an investor based in Series B,Equity,New York, USA. They are interested in sectors like FinTech and typically invest in Consumer rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
PayPal Ventures,FinTech,Payments,Series A,"Series B,Equity,San Jose, USA","PayPal Ventures is an investor based in Series B,Equity,San Jose, USA. They are interested in sectors like FinTech and typically invest in Payments rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
BBVA Ventures,FinTech,Banking,Series A,"Series B,Equity,Madrid, Spain","BBVA Ventures is an investor based in Series B,Equity,Madrid, Spain. They are interested in sectors like FinTech and typically invest in Banking rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
MDI Ventures,Tech,Telecom,Series A,"Equity,Jakarta, Indonesia","MDI Ventures is an investor based in Equity,Jakarta, Indonesia. They are interested in sectors like Tech and typically invest in Telecom rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Kinnevik AB,E-commerce,FinTech,Series B,"Growth,Equity,Stockholm, Sweden","Kinnevik AB is an investor based in Growth,Equity,Stockholm, Sweden. They are interested in sectors like E-commerce and typically invest in FinTech rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Dtec Ventures,Tech,Various,Seed,"Series A,Equity,Dubai, UAE","Dtec Ventures is an investor based in Series A,Equity,Dubai, UAE. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
SAEV (Aramco Energy Ventures),Energy,CleanTech,Series A,"Series B,Equity,Dhahran, Saudi Arabia","SAEV (Aramco Energy Ventures) is an investor based in Series B,Equity,Dhahran, Saudi Arabia. They are interested in sectors like Energy and typically invest in CleanTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Greycroft,Tech,Media,Series A,"Series B,Equity,New York, USA","Greycroft is an investor based in Series B,Equity,New York, USA. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
OpenSpace Ventures,Tech,Consumer,Series A,"Series B,Equity,Singapore, Singapore","OpenSpace Ventures is an investor based in Series B,Equity,Singapore, Singapore. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Bertelsmann India Investments,Consumer,EdTech,Series B,"Equity,Mumbai, India","Bertelsmann India Investments is an investor based in Equity,Mumbai, India. They are interested in sectors like Consumer and typically invest in EdTech rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Nexus Venture Partners,Tech,SaaS,Series A,"Series B,Equity,Menlo Park, USA","Nexus Venture Partners is an investor based in Series B,Equity,Menlo Park, USA. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Inventus Capital Partners,Tech,Consumer,Seed,"Series A,Equity,San Mateo, USA","Inventus Capital Partners is an investor based in Series A,Equity,San Mateo, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
NB Ventures,E-commerce,Mobility,Seed,"Series A,Equity,Dubai, UAE","NB Ventures is an investor based in Series A,Equity,Dubai, UAE. They are interested in sectors like E-commerce and typically invest in Mobility rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
KKR (Next Gen Tech),Tech,Growth,Growth,"Equity,New York, USA","KKR (Next Gen Tech) is an investor based in Equity,New York, USA. They are interested in sectors like Tech and typically invest in Growth rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Dell Technologies Capital,Enterprise,Cloud,Series A,"Series B,Equity,Round Rock, USA","Dell Technologies Capital is an investor based in Series B,Equity,Round Rock, USA. They are interested in sectors like Enterprise and typically invest in Cloud rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Samsung NEXT,Tech,Smart Devices,Seed,"Series A,Equity,Seoul, South Korea","Samsung NEXT is an investor based in Series A,Equity,Seoul, South Korea. They are interested in sectors like Tech and typically invest in Smart Devices rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Greylock Partners,Enterprise,Consumer,Series A,"Series B,Equity,Menlo Park, USA","Greylock Partners is an investor based in Series B,Equity,Menlo Park, USA. They are interested in sectors like Enterprise and typically invest in Consumer rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Startup Wise Guys,Tech,SaaS,Seed,"Equity,Tallinn, Estonia","Startup Wise Guys is an investor based in Equity,Tallinn, Estonia. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Dreamit Ventures,HealthTech,Security,Seed,"Equity,Philadelphia, USA","Dreamit Ventures is an investor based in Equity,Philadelphia, USA. They are interested in sectors like HealthTech and typically invest in Security rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
gener8tor,Tech,Various,Seed,"Equity,Madison, USA","gener8tor is an investor based in Equity,Madison, USA. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Mucker Capital,Tech,Consumer,Seed,"Series A,Equity,Los Angeles, USA","Mucker Capital is an investor based in Series A,Equity,Los Angeles, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Amplify LA,Tech,Media,Seed,"Equity,Los Angeles, USA","Amplify LA is an investor based in Equity,Los Angeles, USA. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Fenbushi Capital,Blockchain,Crypto,Seed,"Series A,Equity,Shanghai, China","Fenbushi Capital is an investor based in Series A,Equity,Shanghai, China. They are interested in sectors like Blockchain and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Bain Capital Ventures,FinTech,SaaS,Series A,"Series B,Equity,Boston, USA","Bain Capital Ventures is an investor based in Series B,Equity,Boston, USA. They are interested in sectors like FinTech and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Two Sigma Ventures,AI,Data,Series A,"Equity,New York, USA","Two Sigma Ventures is an investor based in Equity,New York, USA. They are interested in sectors like AI and typically invest in Data rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Integra Partners,FinTech,HealthTech,Seed,"Series A,Equity,Singapore, Singapore","Integra Partners is an investor based in Series A,Equity,Singapore, Singapore. They are interested in sectors like FinTech and typically invest in HealthTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
HOF Capital,Tech,Consumer,Seed,"Series A,Equity,New York, USA","HOF Capital is an investor based in Series A,Equity,New York, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
RRE Ventures,Tech,Media,Series A,"Series B,Equity,New York, USA","RRE Ventures is an investor based in Series B,Equity,New York, USA. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Draper Associates,Tech,Crypto,Seed,"Series A,Equity,San Francisco, USA","Draper Associates is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Threshold Ventures,Enterprise,Consumer,Series A,"Equity,Menlo Park, USA","Threshold Ventures is an investor based in Equity,Menlo Park, USA. They are interested in sectors like Enterprise and typically invest in Consumer rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Lerer Hippeau,Consumer,Media,Seed,"Series A,Equity,New York, USA","Lerer Hippeau is an investor based in Series A,Equity,New York, USA. They are interested in sectors like Consumer and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
